Date,Precip
1/1/64,1.4
2/1/64,5.7
3/1/64,8.3
4/1/64,24.8
5/1/64,43.7
6/1/64,143.7
7/1/64,313
8/1/64,263.6
9/1/64,202.1
10/1/64,73.3
11/1/64,25.7
12/1/64,6.5
1/1/65,5.5
2/1/65,9.2
3/1/65,14.9
4/1/65,24.3
5/1/65,34.6
6/1/65,110.4
7/1/65,266.8
8/1/65,189.3
9/1/65,142.7
10/1/65,36.2
11/1/65,15.8
12/1/65,22.1
1/1/66,14.7
2/1/66,5.2
3/1/66,5.1
4/1/66,16.1
5/1/66,52
6/1/66,165.8
7/1/66,237.5
8/1/66,198.2
9/1/66,138.4
10/1/66,58
11/1/66,61.1
12/1/66,17.8
1/1/67,9.2
2/1/67,2.7
3/1/67,52.7
4/1/67,22.5
5/1/67,33.3
6/1/67,141.4
7/1/67,292.4
8/1/67,257.3
9/1/67,168.8
10/1/67,42
11/1/67,13.1
12/1/67,49.6
1/1/68,15
2/1/68,12.1
3/1/68,20.1
4/1/68,26.9
5/1/68,31.6
6/1/68,136.4
7/1/68,288.6
8/1/68,194.7
9/1/68,134.8
10/1/68,70.3
11/1/68,23.8
12/1/68,7
1/1/69,4
2/1/69,2.8
3/1/69,9.5
4/1/69,24.1
5/1/69,55.7
6/1/69,121
7/1/69,300.4
8/1/69,238.7
9/1/69,170.9
10/1/69,59.6
11/1/69,43.8
12/1/69,13.9
1/1/70,16.9
2/1/70,20.7
3/1/70,18.4
4/1/70,24
5/1/70,58
6/1/70,210.8
7/1/70,222.8
8/1/70,298.9
9/1/70,207.2
10/1/70,76.2
11/1/70,19.4
12/1/70,0.8
1/1/71,11.4
2/1/71,10.3
3/1/71,9.3
4/1/71,46
5/1/71,70.1
6/1/71,219.4
7/1/71,249.3
8/1/71,258.8
9/1/71,159.2
10/1/71,105.2
11/1/71,13.8
12/1/71,10
1/1/72,2.5
2/1/72,13.1
3/1/72,4.8
4/1/72,20.5
5/1/72,44.8
6/1/72,122.6
7/1/72,183.8
8/1/72,217.2
9/1/72,129.2
10/1/72,63.3
11/1/72,30.8
12/1/72,16
1/1/73,4.6
2/1/73,11.9
3/1/73,7.8
4/1/73,19.5
5/1/73,48.8
6/1/73,141.2
7/1/73,278.6
8/1/73,307.4
9/1/73,186
10/1/73,125.9
11/1/73,19.6
12/1/73,17.8
1/1/74,1.9
2/1/74,3.8
3/1/74,13.9
4/1/74,22.2
5/1/74,60.6
6/1/74,105.9
7/1/74,273.6
8/1/74,228.1
9/1/74,140.3
10/1/74,106.5
11/1/74,11.9
12/1/74,4.2
1/1/75,6.7
2/1/75,9.5
3/1/75,13.7
4/1/75,16.4
5/1/75,40.5
6/1/75,180.1
7/1/75,290
8/1/75,264.6
9/1/75,227.8
10/1/75,121.7
11/1/75,25
12/1/75,2.7
1/1/76,4.7
2/1/76,8.1
3/1/76,12.5
4/1/76,29.8
5/1/76,36.7
6/1/76,141.8
7/1/76,288.1
8/1/76,278.6
9/1/76,148.1
10/1/76,31.9
11/1/76,61.6
12/1/76,4
1/1/77,7
2/1/77,5.7
3/1/77,8.4
4/1/77,48.9
5/1/77,71.9
6/1/77,188.3
7/1/77,310.6
8/1/77,239.4
9/1/77,144.7
10/1/77,89.3
11/1/77,71.4
12/1/77,8.5
1/1/78,7.3
2/1/78,21.6
3/1/78,19.5
4/1/78,23.3
5/1/78,50.3
6/1/78,199.6
7/1/78,276
8/1/78,273.5
9/1/78,160.1
10/1/78,55.1
11/1/78,44.1
12/1/78,23
1/1/79,14.6
