Date,Counts
4/1/64,6413
5/1/64,6424
6/1/64,6427
7/1/64,6461
8/1/64,6464
9/1/64,6491
10/1/64,6474
11/1/64,6467
12/1/64,6512
1/1/65,6505
2/1/65,6466
3/1/65,6532
4/1/65,6592
5/1/65,6619
6/1/65,6512
7/1/65,6472
8/1/65,6453
9/1/65,6470
10/1/65,6508
11/1/65,6558
12/1/65,6507
1/1/66,6423
2/1/66,6376
3/1/66,6410
4/1/66,6396
5/1/66,6434
6/1/66,6345
7/1/66,6304
8/1/66,6277
9/1/66,6040
10/1/66,6162
11/1/66,6220
12/1/66,6155
1/1/67,6021
2/1/67,5961
3/1/67,6074
4/1/67,6151
5/1/67,6040
6/1/67,5996
7/1/67,6047
8/1/67,5981
9/1/67,6037
10/1/67,6069
11/1/67,6010
12/1/67,6003
1/1/68,5953
2/1/68,5879
3/1/68,5912
4/1/68,6049
5/1/68,5984
6/1/68,5905
7/1/68,5924
8/1/68,5942
9/1/68,5893
10/1/68,5801
11/1/68,5623
12/1/68,5654
1/1/69,5771
2/1/69,5730
3/1/69,5743
4/1/69,5828
5/1/69,5686
6/1/69,5628
7/1/69,5689
8/1/69,5785
9/1/69,5832
10/1/69,5860
11/1/69,5850
12/1/69,5864
1/1/70,5791
2/1/70,5789
3/1/70,5794
4/1/70,5803
5/1/70,5841
6/1/70,5698
7/1/70,5689
8/1/70,5781
9/1/70,5869
10/1/70,5910
11/1/70,5794
12/1/70,5939
1/1/71,5909
2/1/71,6003
3/1/71,5955
4/1/71,6089
5/1/71,6132
6/1/71,6254
7/1/71,6265
8/1/71,6319
9/1/71,6323
10/1/71,6386
11/1/71,6348
12/1/71,6294
1/1/72,6227
2/1/72,6130
3/1/72,6391
4/1/72,6445
5/1/72,6410
6/1/72,6269
7/1/72,6356
8/1/72,6092
9/1/72,6347
10/1/72,6353
11/1/72,6148
12/1/72,6354
1/1/73,6365
2/1/73,6333
3/1/73,6308
4/1/73,6197
5/1/73,6126
6/1/73,6262
7/1/73,6313
8/1/73,6360
9/1/73,6472
10/1/73,6446
11/1/73,6475
12/1/73,6475
1/1/74,6453
2/1/74,6480
3/1/74,6417
4/1/74,6383
5/1/74,6281
6/1/74,6213
7/1/74,6094
8/1/74,6194
9/1/74,6149
10/1/74,6155
11/1/74,6192
12/1/74,6303
1/1/75,6318
2/1/75,6374
3/1/75,6389
4/1/75,6429
5/1/75,6438
6/1/75,6462
7/1/75,6447
8/1/75,6405
9/1/75,6427
10/1/75,6420
11/1/75,6356
12/1/75,6429
1/1/76,6417
2/1/76,6415
3/1/76,6418
4/1/76,6372
5/1/76,6413
6/1/76,6442
7/1/76,6468
8/1/76,6476
9/1/76,6488
10/1/76,6480
11/1/76,6493
12/1/76,6469
1/1/77,6434
2/1/77,6439
3/1/77,6454
4/1/77,6435
5/1/77,6436
6/1/77,6432
7/1/77,6343
8/1/77,6357
9/1/77,6368
10/1/77,6419
11/1/77,6482
12/1/77,6452
1/1/78,6343
2/1/78,6311
3/1/78,6298
4/1/78,6185
5/1/78,6052
6/1/78,6152
7/1/78,6159
8/1/78,6309
9/1/78,6317
10/1/78,6221
11/1/78,6262
12/1/78,6270
1/1/79,6179
2/1/79,6152
